"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29"
"UC",0.5,0.166666666666667,0.0666666666666667,0.0384615384615384,0.0555555555555556,0.0526315789473685,0.0357142857142857,0.04,0.0217391304347826,0.0188679245283019,0.0181818181818182,0.0158730158730159,0.0588235294117647,0.142857142857143,0.1,0.0144927536231884,0.0140845070422535,0.015625,0.0217391304347826,0.0158730158730159,0.0140845070422535,0.0625,0.0181818181818182,0.0217391304347826,0.0285714285714286,0.0163934426229508,0.0588235294117647,0.0175438596491229,0.0135135135135135
"GBS",1,-0.246913580246914,-0.0146198830409356,0.0350631136044881,-0.21286231884058,-0.0799086757990868,0.0390189520624303,0.03584229390681,0.129504504504504,0.0816441441441442,0.177364864864865,-0.0734355044699871,0.0351213282247765,0.0776053215077606,0.124722838137472,-0.0192307692307693,0.0351213282247765,-0.240963855421687,-0.0735294117647058,0.0766509433962265,-0.00553709856035445,-0.0666666666666668,0.0557413600891862,0.0219298245614035,0.154277699859747,-0.0255102040816326,-0.117340286831812,-0.0337837837837838,0.037568306010929
"TA",1,0.434959349593496,0.272151898734177,0.0238095238095238,0.286666666666667,0.104761904761905,0.0784313725490196,0.0178799489144317,0.232545045045045,0.110902255639098,0.127450980392157,0.206800445930881,-0.0733695652173914,0.0466666666666667,-0.00409836065573765,-0.0294117647058822,0.064659977703456,0.0721583652618135,-0.0192307692307693,0.0571095571095571,0.0539617486338797,-0.0785413744740533,-0.16,0.128571428571429,0.133906633906634,0.0615384615384615,0.177827380952381,-0.123477297895903,-0.0513392857142857
"TTP",1,0.117283950617284,-0.1,-0.0372233400402415,0.0761670761670762,-0.0639269406392694,0.0396174863387978,0.150793650793651,-0.00668896321070234,0.0653153153153153,0.0304054054054054,0.177350427350427,0.338095238095238,0.0285714285714286,0.0184426229508197,0.170566502463054,0.123376623376623,0.634146341463415,0.136653895274585,-0.0696969696969697,-0.101449275362319,-0.0823754789272031,-0.0402097902097902,0.108391608391608,0.219924812030075,0.0304054054054054,0.353333333333333,-0.00179211469534046,-0.0823754789272031
"AD",1,0.37962962962963,0.180589680589681,0.323529411764706,0.180589680589681,0.0761670761670762,0.110047846889952,0.141791044776119,0.180059523809524,0.120253164556962,0.043956043956044,0.0402097902097902,0.141791044776119,0.290969899665552,0.0729166666666666,0.0933014354066986,0.0966666666666667,0.0804597701149425,0.343853820598007,0.281094527363184,-0.0255183413078149,0.327586206896552,0.238344988344988,0.188811188811189,0.256756756756757,0.25068306010929,0.117142857142857,0.188811188811189,-0.0212264150943396
"MTB",1,0.45679012345679,0.123809523809524,0.137315270935961,0.289473684210526,0.25,0.225056689342404,0.261904761904762,0.209090909090909,0.242307692307692,0.146816037735849,0.0857142857142857,0.228260869565217,0.153907496012759,-0.0114285714285715,0.208616780045352,0.0427927927927928,0.0733482642777156,0.09514687100894,0.0378096479791395,0.019704433497537,0.0849753694581281,-0.06,0.134146341463415,0.120940649496081,0.0640589569160998,0.0823095823095823,0.0804988662131519,0.0399113082039911
